               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.023193,            0.021627,            0.005424,             0.75954,             0.63383,             0.69091,             0.45072,            0.038242,            0.030016,            0.014973,             0.00775,             0.00775,             0.00775
                 102,            0.022637,            0.021192,           0.0050003,             0.76102,             0.62743,             0.68049,             0.44367,            0.038418,            0.030401,            0.015068,           0.0077091,           0.0077091,           0.0077091
                 103,            0.022818,            0.021576,           0.0049789,             0.77616,              0.6339,             0.69212,             0.45252,            0.038575,            0.030503,            0.015268,           0.0076679,           0.0076679,           0.0076679
                 104,            0.023235,             0.02191,             0.00497,             0.77175,             0.62886,              0.6843,             0.44934,            0.038821,            0.030922,            0.015577,           0.0076265,           0.0076265,           0.0076265
                 105,            0.022574,            0.021348,           0.0049371,             0.76976,             0.63894,             0.68961,             0.45308,            0.038225,            0.030736,             0.01487,           0.0075848,           0.0075848,           0.0075848
                 106,            0.022918,            0.021468,           0.0051587,             0.75981,             0.63805,             0.68508,             0.44864,            0.038012,            0.030805,            0.015675,            0.007543,            0.007543,            0.007543
                 107,            0.022769,            0.021485,           0.0049172,             0.77038,             0.64346,             0.68898,             0.44918,            0.038902,            0.030759,            0.015368,           0.0075009,           0.0075009,           0.0075009
                 108,            0.022231,            0.021382,            0.004955,             0.78936,              0.6196,             0.68166,             0.44289,            0.038922,            0.032026,             0.01496,           0.0074585,           0.0074585,           0.0074585
                 109,            0.022446,            0.021295,           0.0050247,             0.78448,             0.63097,              0.6933,             0.45309,             0.03846,            0.030629,              0.0152,            0.007416,            0.007416,            0.007416
                 110,            0.022502,            0.020902,           0.0049245,             0.78354,             0.63281,             0.69357,             0.45414,            0.038659,            0.030485,            0.014587,           0.0073733,           0.0073733,           0.0073733
                 111,            0.022427,            0.021004,           0.0049436,             0.77973,             0.64063,             0.69377,             0.45998,            0.038769,            0.031379,            0.014815,           0.0073303,           0.0073303,           0.0073303
                 112,            0.022129,            0.020652,           0.0048108,             0.79566,             0.62597,             0.69083,             0.45634,            0.038768,            0.031915,            0.015314,           0.0072872,           0.0072872,           0.0072872
                 113,            0.022135,            0.020872,            0.004625,             0.78282,             0.63012,             0.69362,             0.45709,            0.038854,            0.031613,            0.015246,           0.0072438,           0.0072438,           0.0072438
                 114,            0.021958,            0.020854,           0.0047522,             0.77776,              0.6274,             0.68979,             0.45222,            0.038474,            0.031084,            0.014921,           0.0072003,           0.0072003,           0.0072003
